Run,Deployment_Time_Minutes,Deployment_Errors,Retries,Deployment_Success_Percent,Verification_Success_Percent,Workflow_Success_Percent,Source_Records,Exported_Records,Record_Count_Match,Data_Accuracy_Pass
1,80,0,0,100,100,100,125,125,1,1
2,95,1,1,100,100,100,125,125,1,1
3,136,1,1,100,100,100,125,125,1,1
4,90,0,0,100,100,100,125,125,1,1
5,100,0,0,100,100,100,125,125,1,1
6,126,0,0,100,100,100,125,125,1,1
7,101,0,0,100,100,100,125,125,1,1
8,91,0,0,100,100,100,125,125,1,1
9,92,0,0,100,100,100,125,125,1,1
10,82,0,0,100,100,100,125,125,1,1
11,94,0,0,100,100,100,125,125,1,1
12,91,0,0,100,100,100,125,125,1,1
13,83,0,0,100,100,100,125,125,1,1
14,89,0,0,100,100,100,125,125,1,1
15,85,0,0,100,100,100,125,125,1,1
16,92,0,0,100,100,100,125,125,1,1
17,82,0,0,100,100,100,125,125,1,1
18,92,0,0,100,100,100,125,125,1,1
19,86,0,0,100,100,100,125,125,1,1
20,96,0,0,100,100,100,125,125,1,1
21,94,0,0,100,100,100,125,125,1,1
22,84,0,0,100,100,100,125,125,1,1
23,89,0,0,100,100,100,125,125,1,1
24,86,0,0,100,100,100,125,125,1,1
25,81,0,0,100,100,100,125,125,1,1
26,99,0,0,100,100,100,125,125,1,1
27,101,0,0,100,100,100,125,125,1,1
28,79,0,0,100,100,100,125,125,1,1
29,76,1,1,100,100,100,125,125,1,1
30,89,0,0,100,100,100,125,125,1,1
